로그 ID,메시지,감지 시각,구역 ID,위험구역,감지 인원,이미지 확인 링크,담당자,확인 시각
LOG_5F3E9EB3,위험구역 침범 감지,2026-07-07 09:24:23,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_092423_rescue_403dee24.jpg,gildong2,2026-07-07 11:39:50
LOG_23D6AF56,위험구역 침범 감지,2026-07-07 09:50:44,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_095044_rescue_4b03b6e2.jpg,gildong2,2026-07-07 11:39:52
LOG_4D6E4833,위험구역 침범 감지,2026-07-07 11:26:37,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_112637_rescue_79ca6915.jpg,gildong2,2026-07-07 11:39:53
LOG_8BB4BBDA,위험구역 침범 감지,2026-07-07 11:26:42,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_112642_rescue_07cc00a6.jpg,gildong2,2026-07-07 11:39:54
LOG_A0B665D9,위험구역 침범 감지,2026-07-07 11:26:45,ZONE_002,"{'zone_id': 'ZONE_002', 'x1': 100, 'y1': 400, 'x2': 300, 'y2': 550}",1,C:\ocean_rescue_images\2026-07-07_112645_rescue_fd9b536e.jpg,gildong2,2026-07-07 11:39:55
LOG_146C1566,위험구역 침범 감지,2026-07-07 11:27:51,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_112751_rescue_5a2a68ce.jpg,,
LOG_89E4DC12,위험구역 침범 감지,2026-07-07 11:27:56,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_112756_rescue_0e25c35c.jpg,gildong2,2026-07-07 11:40:02
LOG_3D1DA27B,위험구역 침범 감지,2026-07-07 11:40:55,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114055_rescue_77d7ab0b.jpg,,
LOG_6C9DD074,위험구역 침범 감지,2026-07-07 11:41:00,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_114100_rescue_23ebf2cb.jpg,gildong2,2026-07-07 11:41:14
LOG_B6579DB7,위험구역 침범 감지,2026-07-07 11:41:37,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114137_rescue_35efa48e.jpg,,
LOG_F14BAB99,위험구역 침범 감지,2026-07-07 11:41:42,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114142_rescue_35caa673.jpg,,
LOG_951A3D67,위험구역 침범 감지,2026-07-07 11:42:36,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114236_rescue_6872e9a4.jpg,,
LOG_4C4643A7,위험구역 침범 감지,2026-07-07 11:43:03,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114303_rescue_3ae67185.jpg,,
LOG_DFB8C078,위험구역 침범 감지,2026-07-07 11:43:10,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_114310_rescue_58fac387.jpg,,
LOG_F30B61ED,위험구역 침범 감지,2026-07-07 11:43:15,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_114315_rescue_73a2a549.jpg,gildong2,2026-07-07 11:43:22
LOG_961EB269,위험구역 침범 감지,2026-07-07 11:44:58,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114458_rescue_8d96693c.jpg,,
LOG_82193405,위험구역 침범 감지,2026-07-07 11:45:03,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_114503_rescue_1ea5262e.jpg,,
LOG_8A6784EA,위험구역 침범 감지,2026-07-07 11:45:31,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_114531_rescue_b4218b61.jpg,gildong2,2026-07-07 12:17:31
LOG_B278D711,위험구역 침범 감지,2026-07-07 11:45:36,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",2,C:\ocean_rescue_images\2026-07-07_114536_rescue_561e56ef.jpg,gildong2,2026-07-07 15:11:54
LOG_A0ED484B,위험구역 침범 감지,2026-07-07 15:14:04,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151404_rescue_de5d24e1.jpg,,
LOG_C3E8CD4A,위험구역 침범 감지,2026-07-07 15:14:10,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151410_rescue_6d16b5d6.jpg,,
LOG_24FD4300,위험구역 침범 감지,2026-07-07 15:14:53,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151453_rescue_1e91a7bc.jpg,,
LOG_46F20C90,위험구역 침범 감지,2026-07-07 15:14:59,ZONE_001,"{'zone_id': 'ZONE_001', 'x1': 250, 'y1': 100, 'x2': 550, 'y2': 350}",1,C:\ocean_rescue_images\2026-07-07_151459_rescue_9e5ab966.jpg,,
