epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,236.016,2.00651,2.44667,0.96883,0.66669,0.64388,0.64008,0.31168,1.98655,1.65996,0.94263,0.00998201,0.00332734,0.00998201,0.00332734,0.00998201,0.00332734,0.00998201,0.00332734
2,464.353,1.91966,1.4171,0.95865,0.7256,0.6754,0.69594,0.31803,2.12131,1.42682,0.99554,0.0198172,0.00660572,0.0198172,0.00660572,0.0198172,0.00660572,0.0198172,0.00660572
3,684.988,1.96006,1.18063,0.97032,0.70741,0.65337,0.6694,0.2906,2.16125,1.3588,0.99304,0.0294873,0.0098291,0.0294873,0.0098291,0.0294873,0.0098291,0.0294873,0.0098291
4,902.243,1.94741,1.05993,0.98001,0.75979,0.68431,0.6964,0.34954,2.09452,1.12483,0.9903,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,1119.96,1.86276,0.95921,0.96752,0.73864,0.68759,0.73511,0.36434,2.0229,1.06687,0.97603,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,1337.38,1.79822,0.90258,0.95249,0.76742,0.75792,0.77248,0.38477,1.98528,1.01368,0.98504,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,1542.32,1.75627,0.86591,0.9433,0.72857,0.75007,0.73517,0.37997,1.95432,0.9833,0.96478,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1744.68,1.71743,0.83241,0.93589,0.76281,0.75567,0.76196,0.40215,1.95568,0.97506,0.96117,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1951.93,1.6952,0.8183,0.93413,0.7985,0.77166,0.78697,0.41052,1.88856,0.92361,0.96169,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,2157.72,1.66095,0.79944,0.92337,0.71736,0.78918,0.75957,0.42154,1.80696,0.91136,0.95222,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,2363.31,1.64874,0.78672,0.91883,0.82717,0.77637,0.7954,0.42598,1.85447,0.86805,0.95251,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,2569.68,1.62717,0.77406,0.91465,0.82873,0.78918,0.80964,0.42656,1.82698,0.89471,0.94498,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,2775.88,1.60584,0.75834,0.91391,0.80912,0.79177,0.8127,0.43943,1.77105,0.85195,0.94088,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,2981.31,1.57928,0.74065,0.91055,0.76027,0.79264,0.79491,0.44573,1.77453,0.87223,0.94294,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,3193.78,1.57247,0.73317,0.90593,0.79777,0.79333,0.79768,0.43138,1.80898,0.86303,0.94587,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,3399.23,1.56178,0.72904,0.90424,0.77761,0.78103,0.8098,0.46131,1.74987,0.83922,0.93614,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,3605.28,1.54538,0.71831,0.90147,0.83763,0.79043,0.81249,0.4316,1.82106,0.84171,0.94504,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,3811.07,1.53866,0.71699,0.90054,0.8117,0.80761,0.83164,0.47539,1.6763,0.81909,0.92213,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,4016.67,1.52236,0.70591,0.89596,0.80257,0.8129,0.81299,0.46413,1.71008,0.8162,0.9296,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,4222.46,1.51555,0.6998,0.89748,0.80294,0.798,0.80362,0.44815,1.75869,0.81659,0.94041,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,4430.43,1.51077,0.69545,0.89497,0.81203,0.81645,0.82352,0.45116,1.7443,0.78758,0.94137,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,4639.39,1.49463,0.68911,0.89167,0.80394,0.82897,0.83093,0.47774,1.67954,0.80717,0.92609,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,4847.89,1.48163,0.68198,0.89054,0.86614,0.81986,0.84599,0.49032,1.65799,0.76763,0.91762,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,5058.58,1.47817,0.68051,0.88703,0.83387,0.81404,0.8355,0.47339,1.67934,0.78004,0.91628,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,5267.36,1.46975,0.67616,0.89063,0.83299,0.82077,0.83522,0.48448,1.68018,0.76569,0.92823,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,5476.89,1.46148,0.66883,0.88481,0.85026,0.83666,0.85207,0.48387,1.68319,0.75763,0.9221,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,5686.42,1.46086,0.66809,0.88583,0.80554,0.81719,0.83536,0.48435,1.66459,0.77013,0.92725,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,5896.79,1.44768,0.6585,0.88281,0.84047,0.81486,0.83517,0.4715,1.70731,0.77564,0.93179,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,6103.16,1.44378,0.65642,0.88372,0.83165,0.82457,0.83917,0.48672,1.64698,0.75482,0.92211,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,6312.7,1.436,0.65517,0.88161,0.85789,0.82893,0.83994,0.48514,1.65396,0.7455,0.91982,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,6523.76,1.42534,0.6486,0.88073,0.82905,0.82167,0.83175,0.47465,1.66519,0.76727,0.92961,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
