epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6177,1.92657,2.61071,1.03181,0.61288,0.56826,0.58043,0.28695,1.84422,1.73187,1.05664,0.000368828,0.000368828,0.000368828
2,102.536,1.83069,1.53949,1.02488,0.66885,0.67515,0.65751,0.33846,1.71812,1.39652,1.04215,0.000732569,0.000732569,0.000732569
3,151.419,1.80405,1.20102,1.02366,0.66863,0.64198,0.64968,0.33072,1.81243,1.20657,1.07084,0.0010897,0.0010897,0.0010897
4,201.964,1.77821,1.04324,1.01751,0.70183,0.64088,0.66068,0.3443,1.75016,1.12632,1.0448,0.00108127,0.00108127,0.00108127
5,253.775,1.72828,0.96081,1.00953,0.87824,0.69948,0.76201,0.42119,1.71601,0.95565,1.06105,0.00107136,0.00107136,0.00107136
6,304.051,1.70592,0.93182,0.99859,0.62078,0.61677,0.61958,0.31122,1.81107,1.18347,1.04411,0.00106146,0.00106146,0.00106146
7,353.795,1.68449,0.88979,0.99625,0.80395,0.72057,0.72742,0.3855,1.78466,1.01027,1.08431,0.00105155,0.00105155,0.00105155
8,403.379,1.65783,0.86332,0.9847,0.85284,0.71343,0.74243,0.4022,1.72427,0.90934,1.07644,0.00104164,0.00104164,0.00104164
9,452.951,1.63545,0.8473,0.9784,0.81679,0.73364,0.75947,0.40709,1.73963,0.91145,1.06321,0.00103173,0.00103173,0.00103173
10,501.183,1.61977,0.83153,0.97842,0.79896,0.73745,0.75317,0.42016,1.68234,0.89771,1.05495,0.00102182,0.00102182,0.00102182
11,549.698,1.61082,0.81018,0.97806,0.80505,0.77529,0.76618,0.43532,1.67294,0.86122,1.0493,0.00101191,0.00101191,0.00101191
12,597.423,1.6023,0.81971,0.97725,0.77524,0.73623,0.74822,0.42004,1.65507,0.88223,1.04274,0.001002,0.001002,0.001002
13,647.21,1.57092,0.7839,0.96545,0.82902,0.77447,0.76747,0.43556,1.62527,0.83233,1.04628,0.000992093,0.000992093,0.000992093
14,698.237,1.5737,0.78289,0.96583,0.86016,0.75101,0.76358,0.43243,1.63089,0.83185,1.04483,0.000982184,0.000982184,0.000982184
15,748.852,1.56452,0.77026,0.96498,0.88182,0.74919,0.76472,0.42414,1.68535,0.82759,1.06087,0.000972275,0.000972275,0.000972275
16,799.017,1.54328,0.76201,0.9622,0.86024,0.76502,0.77628,0.44739,1.61865,0.82569,1.04486,0.000962366,0.000962366,0.000962366
17,849.167,1.53424,0.75415,0.95686,0.87599,0.76318,0.77067,0.43893,1.66213,0.82783,1.04856,0.000952457,0.000952457,0.000952457
18,900.291,1.5265,0.74332,0.95808,0.85784,0.75937,0.77078,0.43129,1.70296,0.8279,1.05248,0.000942548,0.000942548,0.000942548
19,951.998,1.51825,0.74414,0.95458,0.8425,0.76957,0.78827,0.455,1.62619,0.84797,1.02961,0.000932639,0.000932639,0.000932639
20,1003.06,1.50717,0.73522,0.95126,0.8578,0.73686,0.77479,0.4214,1.68994,0.80808,1.0439,0.000922731,0.000922731,0.000922731
