epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,140.058,2.0643,2.48048,0.96425,0.77361,0.51032,0.51227,0.25338,2.00028,1.64664,0.93728,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736
2,270.06,1.98855,1.47847,0.95482,0.75346,0.50459,0.51657,0.24422,2.11101,1.38176,0.9489,0.0198172,0.00660574,0.0198172,0.00660574,0.0198172,0.00660574,0.0198172,0.00660574
3,396.225,2.01577,1.21545,0.96596,0.64798,0.50561,0.4845,0.20532,2.24051,1.78685,0.997,0.0294874,0.00982912,0.0294874,0.00982912,0.0294874,0.00982912,0.0294874,0.00982912
4,523.772,1.99517,1.07355,0.96597,0.82314,0.54413,0.56908,0.28467,2.09459,1.18627,0.97601,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,652.535,1.90886,0.96816,0.95203,0.76967,0.56909,0.58732,0.27572,2.13636,1.08655,0.97326,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,774.615,1.85093,0.90478,0.94128,0.68879,0.60134,0.60636,0.27666,2.07097,1.01519,0.96598,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,897.146,1.8078,0.87528,0.93234,0.74956,0.6071,0.62256,0.32209,1.95217,0.98608,0.94866,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,1018.93,1.77026,0.84177,0.92628,0.73443,0.63365,0.62446,0.31332,1.96247,0.98629,0.93995,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,1139.07,1.74669,0.82078,0.92238,0.77445,0.63676,0.64161,0.3331,1.93395,0.94363,0.9386,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,1256.65,1.71428,0.79512,0.91475,0.69053,0.65813,0.65015,0.33176,1.91835,0.91084,0.9464,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,1375.27,1.70035,0.78694,0.9157,0.75115,0.65488,0.6526,0.35721,1.86077,0.87107,0.93595,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,1494.12,1.67381,0.77093,0.90423,0.72683,0.66138,0.65682,0.35905,1.81026,0.86277,0.92844,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,1612.48,1.66332,0.7613,0.90749,0.79698,0.63778,0.66945,0.35067,1.8388,0.8679,0.92939,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,1730.58,1.64364,0.75233,0.90108,0.79354,0.64116,0.65363,0.32976,1.95569,0.88237,0.94841,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,1848.78,1.62968,0.74359,0.89918,0.76125,0.68319,0.68603,0.34668,1.83271,0.8354,0.93725,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,1967.24,1.61047,0.73089,0.89729,0.68254,0.65382,0.64593,0.33938,1.84411,0.84761,0.92359,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,2085.9,1.59561,0.72482,0.89647,0.72688,0.66861,0.65765,0.34629,1.85595,0.85383,0.93024,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,2204.57,1.59556,0.71235,0.8921,0.78393,0.69313,0.69426,0.36845,1.80554,0.79574,0.93447,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,2322.41,1.57453,0.71037,0.89111,0.77854,0.67079,0.6936,0.36962,1.78963,0.80328,0.92614,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,2442.33,1.56841,0.70117,0.88799,0.79591,0.68735,0.69729,0.37966,1.7788,0.78152,0.9251,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,2561.68,1.56057,0.69917,0.88651,0.74456,0.6912,0.68186,0.37346,1.74978,0.81051,0.92145,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,2680.61,1.55622,0.69243,0.88674,0.82024,0.68341,0.70655,0.38219,1.74079,0.7705,0.92271,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,2800.69,1.5381,0.6871,0.88495,0.76495,0.69178,0.68616,0.36444,1.75903,0.76625,0.92233,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
24,2919.54,1.52867,0.68016,0.8843,0.77967,0.69384,0.6978,0.38376,1.75419,0.80684,0.92998,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
25,3039.13,1.51618,0.67632,0.88158,0.77962,0.7178,0.7147,0.38584,1.75294,0.77375,0.92096,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
26,3159.83,1.51118,0.6683,0.87608,0.81284,0.68777,0.70278,0.37402,1.73528,0.76325,0.93226,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
27,3280.4,1.50725,0.66696,0.87576,0.78663,0.69848,0.70279,0.37931,1.73899,0.76343,0.92854,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
28,3400.66,1.49984,0.66263,0.8771,0.78624,0.67512,0.70126,0.37782,1.73217,0.75484,0.92815,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
29,3519.89,1.48814,0.65783,0.87477,0.76622,0.70195,0.69169,0.37936,1.70765,0.7652,0.92493,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
30,3639.89,1.48801,0.66004,0.87389,0.73528,0.70442,0.68774,0.38028,1.72013,0.78695,0.91679,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
31,3759.5,1.47759,0.65054,0.87447,0.80137,0.68935,0.70722,0.38191,1.70983,0.77434,0.91751,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,3878.88,1.47584,0.64912,0.87264,0.77942,0.68153,0.68423,0.37646,1.71258,0.76382,0.91935,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,3998.66,1.47403,0.64621,0.87228,0.80141,0.71216,0.71689,0.38877,1.7203,0.74505,0.91921,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,4118.08,1.46854,0.6418,0.87021,0.72982,0.71846,0.70796,0.39159,1.69373,0.75528,0.91198,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,4239.04,1.45604,0.63855,0.86945,0.77759,0.69106,0.69864,0.38638,1.72824,0.7629,0.93077,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,4358.57,1.45867,0.64073,0.87074,0.77362,0.71064,0.71312,0.39676,1.69095,0.73364,0.92614,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,4477.98,1.44955,0.63187,0.86734,0.8048,0.71113,0.72093,0.39666,1.69437,0.76037,0.91545,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,4598.13,1.44273,0.631,0.86655,0.76796,0.71192,0.71364,0.39164,1.71453,0.74984,0.92218,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,4718.08,1.43442,0.62898,0.86735,0.83771,0.70357,0.71894,0.39565,1.69471,0.72746,0.92119,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,4838.11,1.42557,0.6243,0.86501,0.78963,0.69855,0.71295,0.39655,1.69344,0.74052,0.91633,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,4958.04,1.42184,0.624,0.86577,0.84185,0.71709,0.73743,0.40955,1.68063,0.72643,0.9222,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,5078.27,1.42529,0.62197,0.86503,0.8023,0.71727,0.71804,0.39738,1.69544,0.74131,0.92061,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
