epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1682,1.91382,2.60326,1.03491,0.75254,0.4646,0.51804,0.27703,1.77022,1.6328,1.04264,0.000368828,0.000368828,0.000368828
2,104.134,1.82187,1.52142,1.02718,0.74639,0.5064,0.57518,0.31704,1.71576,1.40774,1.04939,0.000728707,0.000728707,0.000728707
3,153.634,1.78757,1.20039,1.02528,0.81806,0.56397,0.61212,0.33215,1.8024,1.18632,1.0738,0.00107811,0.00107811,0.00107811
4,204.275,1.75752,1.04716,1.01817,0.85005,0.58334,0.63471,0.34244,1.7463,1.12707,1.04086,0.00106386,0.00106386,0.00106386
5,256.811,1.709,0.95813,1.00717,0.84707,0.62106,0.65701,0.37752,1.68217,1.00867,1.05252,0.00104815,0.00104815,0.00104815
6,305.429,1.69986,0.91968,1.0004,0.77818,0.60404,0.64376,0.37823,1.66012,0.97039,1.03361,0.00103244,0.00103244,0.00103244
7,353.734,1.66594,0.87741,0.996,0.84953,0.62394,0.64895,0.3671,1.72269,0.98333,1.03756,0.00101672,0.00101672,0.00101672
8,404.993,1.63848,0.86097,0.98154,0.85806,0.6202,0.67491,0.40512,1.63295,0.88376,1.03397,0.00100101,0.00100101,0.00100101
9,453.416,1.62111,0.83462,0.97622,0.85532,0.65311,0.67025,0.39436,1.65695,0.91998,1.0402,0.000985298,0.000985298,0.000985298
10,501.346,1.5956,0.81082,0.97544,0.84274,0.60142,0.64347,0.37871,1.65801,1.03947,1.03104,0.000969586,0.000969586,0.000969586
11,549.802,1.58624,0.80022,0.97255,0.83491,0.58433,0.63965,0.38626,1.66584,0.95428,1.06969,0.000953873,0.000953873,0.000953873
12,597.563,1.58359,0.80411,0.97346,0.82544,0.65041,0.67079,0.4083,1.60821,0.86498,1.02825,0.00093816,0.00093816,0.00093816
13,644.136,1.54541,0.77028,0.96209,0.91751,0.63588,0.67678,0.40038,1.64345,0.84386,1.0545,0.000922447,0.000922447,0.000922447
14,691.322,1.55528,0.76815,0.96088,0.9145,0.69286,0.69874,0.40805,1.62833,0.82799,1.04597,0.000906735,0.000906735,0.000906735
15,738.286,1.53992,0.76468,0.96079,0.89146,0.66356,0.68633,0.39654,1.71271,0.84312,1.07399,0.000891022,0.000891022,0.000891022
16,785.008,1.51787,0.74812,0.95414,0.93019,0.67072,0.69739,0.42027,1.62783,0.84592,1.04617,0.000875309,0.000875309,0.000875309
17,831.543,1.50916,0.73531,0.95249,0.90253,0.70149,0.70582,0.42434,1.63656,0.8162,1.05577,0.000859597,0.000859597,0.000859597
18,879.247,1.5007,0.73451,0.9537,0.81846,0.61941,0.66018,0.38176,1.65855,0.85064,1.0445,0.000843884,0.000843884,0.000843884
19,926.527,1.49749,0.73217,0.9482,0.84246,0.67724,0.698,0.43726,1.55547,0.80917,1.02709,0.000828171,0.000828171,0.000828171
20,973.449,1.47995,0.71834,0.94329,0.80839,0.62312,0.66229,0.39448,1.67806,0.84753,1.05869,0.000812458,0.000812458,0.000812458
21,1022.33,1.47533,0.71583,0.94268,0.82465,0.61498,0.66003,0.4013,1.59653,0.89757,1.03596,0.000796746,0.000796746,0.000796746
22,1070.19,1.46184,0.70211,0.93687,0.91972,0.6804,0.69794,0.42727,1.58099,0.78533,1.04053,0.000781033,0.000781033,0.000781033
23,1118.89,1.4574,0.6976,0.93567,0.84584,0.61331,0.67542,0.41183,1.58877,0.85028,1.03307,0.00076532,0.00076532,0.00076532
24,1166.18,1.4413,0.69343,0.93419,0.92671,0.68723,0.71017,0.44343,1.54636,0.76493,1.02623,0.000749608,0.000749608,0.000749608
25,1214.75,1.45247,0.6938,0.93739,0.90747,0.6884,0.70396,0.44404,1.54148,0.77312,1.02508,0.000733895,0.000733895,0.000733895
26,1264.69,1.43553,0.6888,0.94023,0.89726,0.68295,0.69486,0.43737,1.54189,0.77152,1.03624,0.000718182,0.000718182,0.000718182
27,1314.36,1.42881,0.68045,0.93227,0.87613,0.67103,0.69502,0.42686,1.60797,0.81012,1.04718,0.000702469,0.000702469,0.000702469
28,1362.51,1.41698,0.67683,0.92852,0.9218,0.69204,0.70595,0.41446,1.62503,0.77859,1.06553,0.000686757,0.000686757,0.000686757
29,1410.34,1.40382,0.66808,0.92938,0.91759,0.65502,0.68135,0.41526,1.572,0.75939,1.04795,0.000671044,0.000671044,0.000671044
30,1460.9,1.40935,0.6688,0.92812,0.836,0.66201,0.68652,0.42834,1.57232,0.79252,1.03183,0.000655331,0.000655331,0.000655331
31,1508.62,1.39229,0.65804,0.92393,0.91427,0.68646,0.70778,0.43889,1.56472,0.74663,1.04534,0.000639619,0.000639619,0.000639619
32,1557.8,1.39685,0.65664,0.92345,0.84152,0.67525,0.69834,0.43557,1.56633,0.77293,1.03862,0.000623906,0.000623906,0.000623906
33,1606.88,1.38059,0.64386,0.91919,0.91145,0.67498,0.71167,0.43737,1.56242,0.73348,1.0545,0.000608193,0.000608193,0.000608193
34,1653.82,1.37474,0.64934,0.9212,0.86172,0.69175,0.70723,0.4353,1.56383,0.75749,1.05331,0.00059248,0.00059248,0.00059248
35,1700.46,1.37067,0.64067,0.91626,0.91993,0.69838,0.72062,0.45272,1.53789,0.72959,1.03593,0.000576768,0.000576768,0.000576768
36,1748.9,1.35601,0.63745,0.91594,0.84491,0.67519,0.68729,0.42127,1.61393,0.77432,1.05502,0.000561055,0.000561055,0.000561055
37,1797.92,1.35481,0.63953,0.91952,0.85254,0.69642,0.69579,0.43981,1.54811,0.79675,1.04077,0.000545342,0.000545342,0.000545342
38,1846.74,1.35893,0.64043,0.91723,0.83194,0.67528,0.68749,0.42416,1.55652,0.78659,1.04255,0.00052963,0.00052963,0.00052963
39,1894.77,1.3448,0.62744,0.90802,0.83087,0.69176,0.70203,0.44008,1.54027,0.74165,1.04416,0.000513917,0.000513917,0.000513917
40,1943.36,1.33139,0.62333,0.91577,0.78158,0.68687,0.65974,0.415,1.5382,0.77104,1.03399,0.000498204,0.000498204,0.000498204
41,1992.86,1.33929,0.62867,0.91101,0.88303,0.68616,0.70672,0.44715,1.556,0.75785,1.05085,0.000482491,0.000482491,0.000482491
42,2041.64,1.31549,0.61931,0.90708,0.87672,0.67868,0.70181,0.44409,1.52689,0.72962,1.04436,0.000466779,0.000466779,0.000466779
43,2089.74,1.33168,0.61885,0.90861,0.82843,0.68002,0.70715,0.44593,1.54556,0.76359,1.04713,0.000451066,0.000451066,0.000451066
44,2138.05,1.32268,0.61128,0.90522,0.81996,0.68011,0.687,0.43487,1.53361,0.77083,1.04775,0.000435353,0.000435353,0.000435353
